OM,OM_norm,Date,Site
46.7569,0.778609194,1834.77,Bates_Pond
31.7037,0,1838.788559,Hatch_Pond
45.515,0.669538564,1841.25,Bates_Pond
34.999,0.246568096,1841.47,French_Pond
26.4917,0.489184591,1845.44,Joes_Pond
27.3214,0.113629711,1845.738309,Beaver_Lake
45.0697,0.630429819,1845.8,Bates_Pond
18.7035,0.186796161,1847.05,Upper_Saranac
45.0323,0.627145141,1847.72,Bates_Pond
32.8889,0.087913066,1848.504559,Hatch_Pond
26.7857,0.045449339,1848.841545,Beaver_Lake
44.3652,0.568556674,1850.12,Bates_Pond
32.7407,0.076920224,1853.36294,Hatch_Pond
44.3455,0.566826509,1856.35,Bates_Pond
19.8149,0.224068199,1856.88,Upper_Saranac
34.4037,0.167839289,1862.21,French_Pond
45.5479,0.672428027,1863.79,Bates_Pond
27.8571,0.181810083,1864.358351,Beaver_Lake
28.7762,0.688521443,1864.85,Joes_Pond
44.2876,0.561741406,1869.3,Bates_Pond
18.8697,0.192369863,1869.96,Upper_Saranac
27.8571,0.181810083,1872.116753,Beaver_Lake
38.3704,0.494507288,1872.7957,Hatch_Pond
43.0088,0.449430012,1874.58,Bates_Pond
44.7407,0.967028891,1875.22451,Hatch_Pond
27.5,0.136360744,1876.77192,Beaver_Lake
37.9301,0.634207951,1877.65,French_Pond
28.0357,0.204541116,1878.323538,Beaver_Lake
41.7669,0.340359382,1880.82,Bates_Pond
19.9572,0.228840388,1884.16,Upper_Saranac
39.1111,0.549449245,1884.941271,Hatch_Pond
40.34,0.215041015,1886.57,Bates_Pond
26.4286,0,1887.633559,Beaver_Lake
40.5434,0.232904744,1888.01,Bates_Pond
22.2814,0.121809694,1889.56,Joes_Pond
39.5556,0.582420354,1892.228461,Hatch_Pond
39.3201,0.125467671,1893.53,Bates_Pond
27.1429,0.090911405,1893.840343,Beaver_Lake
39.2457,0.118933446,1895.68,Bates_Pond
34.8751,0.230182241,1895.74,French_Pond
40.6715,0.244155205,1896.16,Bates_Pond
21.9224,0.294745561,1897.63,Upper_Saranac
39.3379,0.127030967,1897.84,Bates_Pond
36.7407,0.373623113,1899.515652,Hatch_Pond
20.8854,0,1901.03,Joes_Pond
26.4286,0,1903.150364,Beaver_Lake
27.1429,0.090911405,1904.702294,Beaver_Lake
38.8148,0.527470979,1906.802842,Hatch_Pond
13.1335,0,1906.98,Upper_Saranac
38.6667,0.516485554,1909.231652,Hatch_Pond
26.2057,0.464229309,1910.74,Joes_Pond
38.8148,0.527470979,1911.661222,Hatch_Pond
39.298,0.123526725,1912.95,Bates_Pond
35.8519,0.307695731,1914.090032,Hatch_Pond
39.8348,0.170671515,1914.15,Bates_Pond
35.3807,0.297048166,1914.26,French_Pond
29.2857,0.363632893,1915.563933,Beaver_Lake
21.8231,0.291415425,1915.81,Upper_Saranac
35.8519,0.307695731,1916.518842,Hatch_Pond
28.75,0.295452521,1917.115551,Beaver_Lake
25.2246,0.378622224,1920.44,Joes_Pond
28.9286,0.318183554,1923.322336,Beaver_Lake
37.037,0.39560138,1923.806185,Hatch_Pond
40.3145,0.212801461,1924.22,Bates_Pond
22.9325,0.328620391,1926.01,Upper_Saranac
33.9827,0.112161769,1926.62,French_Pond
28.9286,0.318183554,1929.52912,Beaver_Lake
39.9986,0.18505735,1929.98,Bates_Pond
36.5926,0.362637689,1931.093451,Hatch_Pond
29.4643,0.386363926,1932.632357,Beaver_Lake
24.7804,0.339863008,1935,Joes_Pond
22.8789,0.326822856,1935.83,Upper_Saranac
28.9286,0.318183554,1937.287523,Beaver_Lake
33.1346,0,1938.09,French_Pond
39.5556,0.582420354,1938.380641,Hatch_Pond
30,0.454544298,1945.045926,Beaver_Lake
39.6994,0.158779927,1945.56,Bates_Pond
38.8148,0.527470979,1945.667908,Hatch_Pond
24.0703,0.27790236,1946.03,Joes_Pond
34.4793,0.177837438,1949.12,French_Pond
26.253,0.468356529,1950,Joes_Pond
28.3929,0.250003182,1951.25271,Beaver_Lake
30.7143,0.545455702,1954.355947,Beaver_Lake
26.9269,0.527158501,1954.85,Joes_Pond
36.4444,0.351644847,1955.384212,Hatch_Pond
22.7578,0.322761632,1958.01,Upper_Saranac
36.7859,0.482886767,1958.82,French_Pond
28.4247,0.657850879,1958.82,Joes_Pond
29.2857,0.363632893,1959.011113,Beaver_Lake
39.178,0.112987652,1960.91,Bates_Pond
26.3648,0.478111775,1961.03,Joes_Pond
36.1481,0.32966658,1965.10044,Hatch_Pond
29.4643,0.386363926,1965.217897,Beaver_Lake
25.8068,0.4294228,1965.44,Joes_Pond
39.0846,0.104784739,1965.71,Bates_Pond
36.6317,0.462493718,1966.32,French_Pond
30.1786,0.477275331,1966.769485,Beaver_Lake
25.9098,0.428467467,1967.5,Upper_Saranac
29.6429,0.409094959,1969.872846,Beaver_Lake
25.9297,0.44014659,1971.62,Joes_Pond
27.037,0.466269375,1974.42,Upper_Saranac
34.4208,0.170100775,1974.71,French_Pond
25.3727,0.391544872,1975.59,Joes_Pond
38.1938,0.026549683,1975.78,Bates_Pond
31.0714,0.590905041,1976.079568,Beaver_Lake
38.7305,0.07368569,1977.46,Bates_Pond
38.1933,0.02650577,1978.42,Bates_Pond
27.0053,0.465206281,1980.24,Upper_Saranac
35.7746,0.349141693,1981.76,French_Pond
25.4956,0.402268662,1981.76,Joes_Pond
31.0714,0.590905041,1982.28629,Beaver_Lake
34.5377,0.185560875,1983.53,French_Pond
37.037,0.39560138,1984.533049,Hatch_Pond
33.9673,0.698684714,1985.42,Upper_Saranac
39.0522,0.782606396,1986.18,French_Pond
40.696,1,1986.18,French_Pond
30.8929,0.568186736,1986.941363,Beaver_Lake
24.9355,0.353396449,1987.06,Joes_Pond
38.9081,0.763549078,1989.26,French_Pond
31.9028,0.629449404,1990.12,Upper_Saranac
38.487,0.052300153,1992.57,Bates_Pond
31.6071,0.659085413,1993.148085,Beaver_Lake
42.9521,1,1993.53,Upper_Saranac
38.357,0.040882823,1994.48,Bates_Pond
34.2857,1,1994.699762,Beaver_Lake
38.5977,0.062022448,1994.72,Bates_Pond
39.1111,0.549449245,1995.937046,Hatch_Pond
33.5714,0.909088595,1997.803127,Beaver_Lake
37.8915,0,2008.15,Bates_Pond
